CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Point,Source,Media URL
5600231,02/24/2016 02:55:57 PM,02/25/2016 05:30:02 AM,02/25/2016 05:30:02 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"2501 20TH AVE, SAN FRANCISCO, CA, 94116",4,Parkside,"(37.740997283534, -122.476758777845)",Web Self Service,
5600540,02/24/2016 03:39:44 PM,02/25/2016 05:30:02 AM,02/25/2016 05:30:02 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"719 PERALTA AVE, SAN FRANCISCO, CA, 94110",9,Bernal Heights,"(37.740922121545, -122.408675660321)",Web Self Service,
5601425,02/24/2016 07:40:48 PM,02/25/2016 05:30:02 AM,02/25/2016 05:30:02 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"2829 BAKER ST, SAN FRANCISCO, CA, 94123",2,Cow Hollow,"(37.797270004098, -122.44587919812)",Web Self Service,
5601438,02/24/2016 07:46:44 PM,02/29/2016 02:43:19 PM,02/29/2016 02:43:19 PM,Closed,Case Transferred -,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Intersection of PORTOLA DR and CLAREMONT BLVD,7,St. Francis Wood,"(37.7396867553279, -122.46523743784)",Voice In,
5601510,02/24/2016 08:53:55 PM,03/01/2016 12:09:26 PM,03/01/2016 12:09:26 PM,Closed,Issued -,Entertainment Commission - G,Noise Report,entertainment,Noise Report - entertainment,"661 DIVISADERO ST, SAN FRANCISCO, CA, 94117",5,Panhandle,"(37.775767296314, -122.438118824323)",Voice In,
5601584,02/24/2016 09:59:52 PM,02/25/2016 05:30:03 AM,02/25/2016 05:30:03 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,Intersection of HYDE ST and FILBERT ST,2,Russian Hill,"(37.8001339466627, -122.419232906149)",Voice In,
5601629,02/24/2016 10:55:23 PM,02/26/2016 03:45:54 PM,02/26/2016 03:45:54 PM,Closed,"Case Transferred - 
 
 Environmental Health-DPH
 
 
 (415)-252-3800",DPH - Environmental Health - G,Residential Building Request,Building - Noise_Caused_by_Building_Systems,Noise_Caused_by_Building_Systems,"1800 FILLMORE ST, SAN FRANCISCO, CA, 94115",5,Western Addition,"(37.781951290767, -122.431976999175)",Web Self Service,
5601635,02/24/2016 11:00:39 PM,02/26/2016 03:46:11 PM,02/26/2016 03:46:11 PM,Closed,"Case Transferred - 
 
 Environmental Health-DPH
 
 
 (415)-252-3800",DPH - Environmental Health - G,Residential Building Request,Building - Noise_Caused_by_Building_Systems,Noise_Caused_by_Building_Systems,"1800 FILLMORE ST, SAN FRANCISCO, CA, 94115",5,Western Addition,"(37.781951290767, -122.431976999175)",Web Self Service,
5602355,02/25/2016 09:58:42 AM,02/26/2016 05:30:43 AM,02/26/2016 05:30:43 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"172 CAINE AVE, SAN FRANCISCO, CA, 94112",11,Oceanview,"(37.715392924493, -122.452306462448)",Web Self Service,
5602411,02/25/2016 10:12:18 AM,02/26/2016 05:30:40 AM,02/26/2016 05:30:40 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"1194 GUERRERO ST, SAN FRANCISCO, CA, 94110",8,Dolores Heights,"(37.752100559068, -122.423204193935)",Voice In,
5604616,02/25/2016 07:51:37 PM,02/26/2016 05:30:44 AM,02/26/2016 05:30:44 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"4425 CABRILLO ST, SAN FRANCISCO, CA, 94121",1,Outer Richmond,"(37.773294688737, -122.506211045797)",Web Self Service,
5604766,02/25/2016 09:04:06 PM,,02/29/2016 12:00:00 PM,Open,accepted,DPW BSM Queue,Noise Report,construction_public,Noise Report - construction_public,"706 MISSION ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.766897602298, -122.420322472231)",Web Self Service,
5604836,02/25/2016 10:02:39 PM,02/26/2016 05:30:44 AM,02/26/2016 05:30:44 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"2050 24TH AVE, SAN FRANCISCO, CA, 94116",4,Outer Sunset,"(37.749319028892, -122.481344292855)",Web Self Service,
5605016,02/26/2016 06:48:17 AM,03/16/2016 06:08:07 PM,03/16/2016 06:08:07 PM,Closed,Case is Invalid - no hours of operation in the Mission Street NCT - call SFPD if the sound ordinance is being violated in this case - planning code has no say in this particular area of the mission regarding sound.,Planning - G,Noise Report,delivery_service_business,Noise Report - delivery_service_business,"2224 MISSION ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.761338923601, -122.419472221327)",Web Self Service,
5605496,02/26/2016 09:18:39 AM,02/29/2016 03:54:07 PM,02/29/2016 03:54:07 PM,Closed,Case Transferred -,SSP - MTA Feedback Queue,MUNI Feedback,MUNI  - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Not associated with a specific address,0,,,Web Self Service,
5605659,02/26/2016 09:48:44 AM,,03/09/2016 04:38:09 PM,Open,Open,DBI Inspection Services Queue,Residential Building Request,Building - Noise_Caused_by_Building_Systems,Noise_Caused_by_Building_Systems,Not associated with a specific address,0,,,Web Self Service,
5606259,02/26/2016 11:50:35 AM,02/26/2016 11:02:02 PM,02/26/2016 11:02:02 PM,Closed,Case is Invalid -,311 Supervisor Queue,Noise Report,construction_public,Noise Report - construction_public,"477 OFARRELL ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,"(37.785794726176, -122.412596837164)",Voice In,
5606613,02/26/2016 01:10:23 PM,03/01/2016 08:57:31 AM,03/01/2016 08:57:31 AM,Closed,"Case is a Duplicate - BID complaint no. 201602241 has been filed with DBI (415) 558-6570.  To view the status, please visit our website at www.sfdbi.org",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,Not associated with a specific address,0,,,Voice In,
5608342,02/26/2016 10:25:42 PM,03/01/2016 12:11:26 PM,03/01/2016 12:11:26 PM,Closed,Issued -,Entertainment Commission - G,Noise Report,major_event_venue,Noise Report - major_event_venue,"1800 MISSION ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.768117853686, -122.420599909361)",Voice In,
5608361,02/26/2016 10:56:28 PM,03/01/2016 12:16:29 PM,03/01/2016 12:16:29 PM,Closed,Issued -,Entertainment Commission - G,Noise Report,major_event_venue,Noise Report - major_event_venue,Intersection of MISSION ST and 14TH ST,9,Mission,"(37.7682735201071, -122.419981393661)",Voice In,
5608373,02/26/2016 11:15:55 PM,02/27/2016 05:31:16 AM,02/27/2016 05:31:16 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"1799 MISSION ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.768299648276, -122.419913931934)",Voice In,
5608393,02/26/2016 11:54:58 PM,02/29/2016 05:12:18 PM,02/29/2016 05:12:18 PM,Closed,"Case Transferred - Environmental Health-DPH
 
 (415)-252-3800",DPH - Environmental Health - G,Noise Report,mechanical_equipment,Noise Report - mechanical_equipment,"813 CORTLAND AVE, SAN FRANCISCO, CA, 94110",9,Bernal Heights,"(37.739023492502, -122.414382606135)",Voice In,
5608407,02/27/2016 12:53:34 AM,02/28/2016 05:01:47 AM,02/28/2016 05:01:47 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"663 VALENCIA ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.7617313976, -122.421511935601)",Voice In,
5608994,02/27/2016 10:51:28 AM,03/01/2016 08:25:24 AM,03/01/2016 08:25:24 AM,Closed,"Case Resolved - BID complaint no.201602191 has been filed with DBI (415) 558-6570.  To view the status, please visit our website at www.sfdbi.org",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"1025 STEINER ST, SAN FRANCISCO, CA, 94115",5,Western Addition,"(37.778796744643, -122.433621132178)",Web Self Service,
5610486,02/27/2016 10:34:43 PM,02/28/2016 05:01:45 AM,02/28/2016 05:01:45 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,Intersection of 16TH AVE and IRVING ST,5,Inner Sunset,"(37.7637028969203, -122.47391325067)",Voice In,
5610550,02/28/2016 12:09:03 AM,03/01/2016 12:20:32 PM,03/01/2016 12:20:32 PM,Closed,Issued -,Entertainment Commission - G,Noise Report,entertainment,Noise Report - entertainment,"3000 20TH ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.759236569967, -122.411245498416)",Open311,
5610799,02/28/2016 08:27:03 AM,02/29/2016 05:32:09 AM,02/29/2016 05:32:09 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"433 26TH AVE, SAN FRANCISCO, CA, 94121",1,Outer Richmond,"(37.781318971968, -122.485968007142)",Web Self Service,
5611159,02/28/2016 10:30:16 AM,02/29/2016 05:32:09 AM,02/29/2016 05:32:09 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"1732 WASHINGTON ST, SAN FRANCISCO, CA, 94109",3,Polk Gulch,"(37.793293371078, -122.421858157396)",Voice In,
5611592,02/28/2016 01:22:28 PM,02/29/2016 05:32:09 AM,02/29/2016 05:32:09 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"2970 FOLSOM ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.749796420355, -122.413983864053)",Web Self Service,
5611926,02/28/2016 03:32:07 PM,03/01/2016 08:53:59 AM,03/01/2016 08:53:59 AM,Closed,"Case Resolved - BID complaint no. 201602241 has been filed with DBI (415) 558-6570.  To view the status, please visit our website at www.sfdbi.org",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"477 OFARRELL ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,"(37.785794726176, -122.412596837164)",Voice In,
5612031,02/28/2016 04:17:01 PM,02/29/2016 05:32:08 AM,02/29/2016 05:32:08 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,vehicle_car_alarm,Noise Report - vehicle_car_alarm,"316 11TH ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.771416433037, -122.413714594765)",Web Self Service,
5612508,02/28/2016 08:36:52 PM,02/29/2016 09:01:54 AM,02/29/2016 09:01:54 AM,Closed,Comment Noted -,DPT - Other - G,Noise Report,traffic,Noise Report - traffic,Intersection of 1ST ST and FOLSOM ST,6,South of Market,"(37.7872982773192, -122.394481414513)",Open311,
5612662,02/28/2016 10:39:24 PM,02/29/2016 05:32:09 AM,02/29/2016 05:32:09 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"1559 43RD AVE, SAN FRANCISCO, CA, 94122",4,Outer Sunset,"(37.757600337476, -122.502642993712)",Web Self Service,
5612722,02/29/2016 01:32:45 AM,03/01/2016 12:25:02 PM,03/01/2016 12:25:02 PM,Closed,"Insufficient Information Provided - This person complains frequently, and we have checked on this establishment several times not finding any of their claims to be true thus far, but the most frustrating thing is that they always identify as anonymous so we can never close the loop with them on this issue.",Entertainment Commission - G,Noise Report,entertainment,Noise Report - entertainment,"2565 MISSION ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.756079748973, -122.418627051739)",Web Self Service,
5613300,02/29/2016 09:20:53 AM,02/29/2016 05:18:29 PM,02/29/2016 05:18:29 PM,Closed,"Case Transferred - Environmental Health-DPH
 
 (415)-252-3800",DPH - Environmental Health - G,Noise Report,garbage_recycling_collection,Noise Report - garbage_recycling_collection,"325 11TH AVE, SAN FRANCISCO, CA, 94118",1,Inner Richmond,"(37.782204662358, -122.469876682449)",Web Self Service,
5614024,02/29/2016 11:04:02 AM,03/01/2016 05:02:41 AM,03/01/2016 05:02:41 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"688 GEARY ST, SAN FRANCISCO, CA, 94102",3,Lower Nob Hill,"(37.78677057556, -122.41461762595)",Web Self Service,
5615189,02/29/2016 02:38:44 PM,02/29/2016 05:20:53 PM,02/29/2016 05:20:53 PM,Closed,"Case Transferred - Environmental Health-DPH
 
 (415)-252-3800",DPH - Environmental Health - G,Noise Report,mechanical_equipment,Noise Report - mechanical_equipment,"2340 CHESTNUT ST, SAN FRANCISCO, CA, 94123",2,Marina,"(37.800204135797, -122.441929384726)",Web Self Service,
5615328,02/29/2016 03:01:48 PM,,02/29/2016 03:05:08 PM,Open,Open,DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"2677 LARKIN ST, SAN FRANCISCO, CA, 94109",2,Russian Hill,"(37.802420398773, -122.421532497262)",Voice In,
5615557,02/29/2016 03:34:58 PM,03/01/2016 02:50:56 PM,03/01/2016 02:50:56 PM,Closed,Case Transferred -,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Not associated with a specific address,0,,,Voice In,
5615568,02/29/2016 03:36:46 PM,02/29/2016 05:21:51 PM,02/29/2016 05:21:51 PM,Closed,"Case Transferred - Environmental Health-DPH
 
 (415)-252-3800",DPH - Environmental Health - G,Noise Report,mechanical_equipment,Noise Report - mechanical_equipment,Not associated with a specific address,0,,,Web Self Service,
5616490,02/29/2016 07:38:09 PM,05/02/2016 02:22:42 PM,05/02/2016 02:22:42 PM,Closed,Case is Invalid - unverifiable address,DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,Intersection of 1ST ST and CLEMENTINA ST,6,South of Market,"(37.7877175093053, -122.395007836409)",Open311,
5616739,02/29/2016 10:35:53 PM,03/01/2016 02:08:16 PM,03/01/2016 02:08:16 PM,Closed,Case Resolved - Emailed customer.,311 Supervisor Queue,Noise Report,entertainment,Noise Report - entertainment,"978 SUTTER ST, SAN FRANCISCO, CA, 94109",3,Lower Nob Hill,"(37.788265143894, -122.41647118516)",Web Self Service,
5616906,03/01/2016 06:24:48 AM,03/01/2016 03:41:53 PM,03/01/2016 03:41:53 PM,Closed,"Case Transferred - 
 Environmental Health-DPH
 
 
 (415)-252-3800",DPH - Environmental Health - G,Noise Report,mobile_food_facility,Noise Report - mobile_food_facility,"2598 HARRISON ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.76904574256, -122.413270213557)",Web Self Service,
5617125,03/01/2016 08:05:18 AM,03/01/2016 03:42:05 PM,03/01/2016 03:42:05 PM,Closed,"Case Transferred - 
 Environmental Health-DPH
 
 
 (415)-252-3800",DPH - Environmental Health - G,Noise Report,garbage_recycling_collection,Noise Report - garbage_recycling_collection,"351 KING ST, SAN FRANCISCO, CA, 94158",6,Mission Bay,"(37.775518200324, -122.394229074643)",Web Self Service,
5617181,03/01/2016 08:19:38 AM,03/07/2016 11:35:39 AM,03/07/2016 11:35:39 AM,Closed,"Case Resolved - DBI (415 558-6571) filed BID complaint #201603611. For status, please visit sfdbi.org.",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"570 JERSEY ST, SAN FRANCISCO, CA, 94114",8,Noe Valley,"(37.750363609509, -122.437815194293)",Open311,
5617540,03/01/2016 09:30:33 AM,03/01/2016 12:28:11 PM,03/01/2016 12:28:11 PM,Closed,Issued -,Entertainment Commission - G,Noise Report,entertainment,Noise Report - entertainment,"1800 MISSION ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.768117853686, -122.420599909361)",Web Self Service,
5618065,03/01/2016 11:02:16 AM,03/02/2016 05:33:15 AM,03/02/2016 05:33:15 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"3009 MISSION ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.748832116129, -122.417718642538)",Web Self Service,
5619097,03/01/2016 02:02:48 PM,03/02/2016 05:33:12 AM,03/02/2016 05:33:12 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,Not associated with a specific address,0,,,Web Self Service,
5620250,03/01/2016 06:01:33 PM,03/02/2016 05:33:15 AM,03/02/2016 05:33:15 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,Intersection of JUDAH ST and 42ND AVE,4,Outer Sunset,"(37.7606138628767, -122.501639686021)",Voice In,
5620482,03/01/2016 08:17:51 PM,03/02/2016 05:33:16 AM,03/02/2016 05:33:16 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"200 BRANNAN ST, SAN FRANCISCO, CA, 94107",6,South Beach,"(37.783368407182, -122.390369604945)",Web Self Service,
5620574,03/01/2016 09:51:23 PM,03/02/2016 05:33:14 AM,03/02/2016 05:33:14 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"8 APPLETON AVE, SAN FRANCISCO, CA, 94110",9,Holly Park,"(37.738481819624, -122.423452444531)",Web Self Service,
5620709,03/02/2016 05:06:00 AM,03/03/2016 05:33:51 AM,03/03/2016 05:33:51 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,vehicle_car_alarm,Noise Report - vehicle_car_alarm,"1237 POTRERO AVE, SAN FRANCISCO, CA, 94110",10,Potrero Hill,"(37.752484132225, -122.406069999618)",Web Self Service,
5620749,03/02/2016 06:07:35 AM,03/03/2016 05:33:50 AM,03/03/2016 05:33:50 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"508 SHIELDS ST, SAN FRANCISCO, CA, 94132",11,Ingleside,"(37.717985900206, -122.467362067548)",Web Self Service,
5621374,03/02/2016 09:33:56 AM,03/03/2016 05:33:51 AM,03/03/2016 05:33:51 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"2019 23RD ST, SAN FRANCISCO, CA, 94107",10,Potrero Hill,"(37.754513770173, -122.400019985334)",Web Self Service,
5622878,03/02/2016 02:03:44 PM,03/03/2016 05:33:51 AM,03/03/2016 05:33:51 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,home_improvement_maintenance,Noise Report - home_improvement_maintenance,"184 PRECITA AVE, SAN FRANCISCO, CA, 94110",9,Bernal Heights,"(37.747303054288, -122.416368609957)",Web Self Service,
5622994,03/02/2016 02:23:06 PM,03/04/2016 04:05:17 PM,03/04/2016 04:05:17 PM,Closed,"Case Transferred - 
 Environmental Health-DPH
 
 
 (415)-252-3800",DPH - Environmental Health - G,Noise Report,garbage_recycling_collection,Noise Report - garbage_recycling_collection,"5800 3RD ST, SAN FRANCISCO, CA, 94124",10,Bayview,"(37.72487737626, -122.39471624425)",Web Self Service,
5623599,03/02/2016 04:05:19 PM,03/04/2016 04:06:04 PM,03/04/2016 04:06:04 PM,Closed,"Case Transferred - 
 Environmental Health-DPH
 
 
 (415)-252-3800",DPH - Environmental Health - G,Noise Report,garbage_recycling_collection,Noise Report - garbage_recycling_collection,"1700 VAN NESS AVE, SAN FRANCISCO, CA, 94109",6,Civic Center,"(37.780851699394, -122.420147639969)",Web Self Service,
5623912,03/02/2016 05:12:20 PM,03/15/2016 02:00:17 PM,03/15/2016 02:00:17 PM,Closed,"Case Resolved - DBI (415 558-6570) filed complaint #201605901. For status, please visit sfdbi.org.",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"994 OSHAUGHNESSY BLVD, SAN FRANCISCO, CA, 94131",7,Miraloma Park,"(37.735789693046, -122.442275690424)",Open311,
5624271,03/02/2016 08:27:00 PM,,03/04/2016 12:00:00 PM,Open,open,DPW BSM Queue,Noise Report,construction_public,Noise Report - construction_public,"2451 SACRAMENTO ST, Apt 906, SAN FRANCISCO, CA, 94115",2,Pacific Heights,"(37.789659279457, -122.433285782317)",Voice In,
5624417,03/02/2016 11:12:57 PM,03/03/2016 05:33:51 AM,03/03/2016 05:33:51 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"2050 24TH AVE, SAN FRANCISCO, CA, 94116",4,Outer Sunset,"(37.749319028892, -122.481344292855)",Web Self Service,
5624425,03/02/2016 11:35:42 PM,03/03/2016 05:33:51 AM,03/03/2016 05:33:51 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"590 VAN NESS AVE, SAN FRANCISCO, CA, 94102",6,Civic Center,"(37.780851699394, -122.420147639969)",Web Self Service,
5624464,03/03/2016 04:25:03 AM,03/04/2016 04:06:41 PM,03/04/2016 04:06:41 PM,Closed,"Case Transferred - 
 Environmental Health-DPH
 
 
 (415)-252-3800",DPH - Environmental Health - G,Noise Report,garbage_recycling_collection,Noise Report - garbage_recycling_collection,Intersection of STEVENSON ST and 7TH ST,6,South of Market,"(37.7800059127357, -122.411933525948)",Voice In,
5625245,03/03/2016 10:28:20 AM,03/11/2016 11:15:55 AM,03/11/2016 11:15:55 AM,Closed,"Case Resolved - DBI (415 558-6570) filed complaint # 201605041. For status, visit sfdbi.org.",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"964 CENTRAL AVE, SAN FRANCISCO, CA, 94115",5,Western Addition,"(37.77859629466, -122.445139518881)",Voice In,
5625563,03/03/2016 10:59:40 AM,03/07/2016 02:24:49 PM,03/07/2016 02:24:49 PM,Closed,Case Transferred -,SSP - MTA Feedback Queue,MUNI Feedback,MUNI  - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Not associated with a specific address,0,,,Web Self Service,
5625566,03/03/2016 10:59:48 AM,03/10/2016 01:37:16 PM,03/10/2016 01:37:16 PM,Closed,"Case is a Duplicate - BID complaint no. 201604701 has been filed with DBI (415) 558-6570.  To view the status, please visit our website at www.sfdbi.or",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"1140 FOLSOM ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.77614804028, -122.408822989183)",Voice In,
5625862,03/03/2016 12:06:47 PM,03/11/2016 02:03:42 PM,03/11/2016 02:03:42 PM,Closed,"Case Resolved - DBI (415 558-6570) filed complaint #201605101. For status, visit sfdbi.org",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"201 WALLER ST, SAN FRANCISCO, CA, 94102",5,Mint Hill,"(37.771434917707, -122.427217257884)",Voice In,
5625922,03/03/2016 12:18:32 PM,03/29/2016 07:02:55 PM,03/29/2016 07:02:55 PM,Closed,Case Resolved -,SFMTA - UPI/TDM Queue,Noise Report,traffic,Noise Report - traffic,"615 HYDE ST, SAN FRANCISCO, CA, 94109",6,Lower Nob Hill,"(37.786478723921, -122.416618033523)",Web Self Service,
5627036,03/03/2016 04:02:58 PM,,03/03/2016 04:02:58 PM,Open,open,DPW BSM Queue,Noise Report,construction_public,Noise Report - construction_public,"391 GIRARD ST, SAN FRANCISCO, CA, 94134",9,Portola,"(37.727525913857, -122.404507426904)",Open311,
5627203,03/03/2016 04:43:56 PM,03/04/2016 04:08:34 PM,03/04/2016 04:08:34 PM,Closed,"Case Transferred - 
 Environmental Health-DPH
 
 
 (415)-252-3800",DPH - Environmental Health - G,Noise Report,mechanical_equipment,Noise Report - mechanical_equipment,"444 DE HARO ST, SAN FRANCISCO, CA, 94103",10,Potrero Hill,"(37.764186320207, -122.401693834101)",Web Self Service,
5627219,03/03/2016 04:47:49 PM,03/11/2016 10:32:02 AM,03/11/2016 10:32:02 AM,Closed,"Case Resolved - DBI filed complaint #201604991. For status, please visit sfdbi.org.",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"507 32ND AVE, SAN FRANCISCO, CA, 94121",1,Outer Richmond,"(37.780208781053, -122.492597672976)",Web Self Service,
5627360,03/03/2016 05:18:20 PM,03/04/2016 05:34:46 AM,03/04/2016 05:34:46 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"130 BATTERY ST, SAN FRANCISCO, CA, 94111",3,Financial District,"(37.792692671772, -122.399693671176)",Web Self Service,
5627506,03/03/2016 05:56:33 PM,03/04/2016 05:34:46 AM,03/04/2016 05:34:46 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,vehicle_car_alarm,Noise Report - vehicle_car_alarm,"350 LAGUNA ST, SAN FRANCISCO, CA, 94102",5,Lower Haight,"(37.77437245702, -122.425682925268)",Web Self Service,
5627845,03/03/2016 10:44:41 PM,03/04/2016 05:34:47 AM,03/04/2016 05:34:47 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"2050 24TH AVE, SAN FRANCISCO, CA, 94116",4,Outer Sunset,"(37.749319028892, -122.481344292855)",Web Self Service,
5627863,03/03/2016 11:12:28 PM,03/04/2016 05:34:47 AM,03/04/2016 05:34:47 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,delivery_service_vehicle,Noise Report - delivery_service_vehicle,Not associated with a specific address,0,,,Web Self Service,
5627898,03/04/2016 01:58:55 AM,,03/04/2016 01:58:55 AM,Open,open,DPW BSM Queue,Noise Report,construction_public,Noise Report - construction_public,"391 GIRARD ST, SAN FRANCISCO, CA, 94134",9,Portola,"(37.727525913857, -122.404507426904)",Open311,
5627956,03/04/2016 06:26:43 AM,03/05/2016 05:35:26 AM,03/05/2016 05:35:26 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"508 SHIELDS ST, SAN FRANCISCO, CA, 94132",11,Ingleside,"(37.717985900206, -122.467362067548)",Web Self Service,
5628093,03/04/2016 07:20:17 AM,03/11/2016 10:11:55 AM,03/11/2016 10:11:55 AM,Closed,"Case Resolved - DBI (415 558-6570) files BID complaint #201604961. For status, visit sfdbi.org.",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,Not associated with a specific address,0,,,Voice In,
